dense_params,account_balance,roi,gamma,aggregation,downside_deviation,eps_end,learning_rate,stopping_metric,mean,n_samples,fx_pair,eps_start,sum,memory,sharpe,conv_params,neutral_cost,tech_indicators,median,standard_deviation,max_steps,start_memory,target_update,pip_size,eps_decay,sortino,stop_loss,actions,batch_size,model_name
"[{'out_features': 1174}, {'out_features': 1174}, {'out_features': 1174}, {'out_features': 1174}, {'out_features': 1174}, {'out_features': 1174}, {'out_features': 1174}]",182127.85161709524,0.8212785161709524,0.999,15 min,117470030.90443707,0.05,0.005324892735822121,"{'threshold': 2.0, 'type': 'sortino'}",782.2593507925262,100,EURUSD,0.9,NA,10000,-4.084950065595195e-06,"[{'kernel_size': 8, 'out_channels': 285, 'stride': 1}, {'kernel_size': 8, 'out_channels': 285, 'stride': 1}, {'kernel_size': 8, 'out_channels': 285, 'stride': 1}, {'kernel_size': 8, 'out_channels': 285, 'stride': 1}, {'kernel_size': 8, 'out_channels': 285, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",769.0231323943132,10325.072721771274,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,6.565747112115722e-09,NA,"['long', 'neutral', 'short']",16,2020-03-18_07-36-43
"[{'out_features': 1360}, {'out_features': 1360}, {'out_features': 1360}, {'out_features': 1360}, {'out_features': 1360}, {'out_features': 1360}, {'out_features': 1360}, {'out_features': 1360}, {'out_features': 1360}]",88901.90712540646,-0.11098092874593538,0.999,1 hour,0.0,0.05,0.0069265798842310915,"{'threshold': 2.0, 'type': 'sortino'}",0.017712037202532026,100,EURUSD,0.9,NA,1000,-1.3024744031524722,"[{'kernel_size': 7, 'out_channels': 426, 'stride': 1}, {'kernel_size': 7, 'out_channels': 426, 'stride': 1}, {'kernel_size': 7, 'out_channels': 426, 'stride': 1}, {'kernel_size': 7, 'out_channels': 426, 'stride': 1}, {'kernel_size': 7, 'out_channels': 426, 'stride': 1}, {'kernel_size': 7, 'out_channels': 426, 'stride': 1}]",-3829,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.03838833435698224,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-21_10-15-24
"[{'out_features': 907}, {'out_features': 907}, {'out_features': 907}, {'out_features': 907}, {'out_features': 907}, {'out_features': 907}, {'out_features': 907}]",-1421.7674145440506,-1.0142176741454405,0.999,15 min,152431494.99983746,0.05,0.006915122037172318,"{'threshold': 2.0, 'type': 'sortino'}",-1668.0598339973412,100,EURUSD,0.9,NA,10000,-5.662352422145698e-06,"[{'kernel_size': 4, 'out_channels': 398, 'stride': 1}, {'kernel_size': 4, 'out_channels': 398, 'stride': 1}, {'kernel_size': 4, 'out_channels': 398, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",-1295.5257472522992,11776.130019598004,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-6.981612783805442e-09,NA,"['long', 'neutral', 'short']",16,2020-03-18_03-19-47
"[{'out_features': 869}, {'out_features': 869}, {'out_features': 869}, {'out_features': 869}, {'out_features': 869}, {'out_features': 869}, {'out_features': 869}]",100000.0,0.0,0.999,1 min,0.0,0.05,0.008974551593601703,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 4, 'out_channels': 323, 'stride': 1}, {'kernel_size': 4, 'out_channels': 323, 'stride': 1}, {'kernel_size': 4, 'out_channels': 323, 'stride': 1}]",-2617,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_21-43-29
"[{'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}]",88065.51835505369,-0.11934481644946311,0.999,15 min,277619.16060644545,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-121.46707679489667,100,EURUSD,0.9,-12146.707679489667,1000,-9.328675397322087e-05,"[{'kernel_size': 5, 'out_channels': 512}, {'kernel_size': 5, 'out_channels': 512}, {'kernel_size': 5, 'out_channels': 512}]",-2048,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-293.6885030555558,549.0026031203828,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-6.099896566200174e-07,90,"['long', 'neutral', 'short']",16,2020-03-25_06-13-44
"[{'out_features': 1646}, {'out_features': 1646}, {'out_features': 1646}, {'out_features': 1646}, {'out_features': 1646}, {'out_features': 1646}]",100000.0,0.0,0.999,1 hour,0.0,0.05,0.007932307085990905,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 3, 'out_channels': 424, 'stride': 1}, {'kernel_size': 3, 'out_channels': 424, 'stride': 1}, {'kernel_size': 3, 'out_channels': 424, 'stride': 1}, {'kernel_size': 3, 'out_channels': 424, 'stride': 1}, {'kernel_size': 3, 'out_channels': 424, 'stride': 1}, {'kernel_size': 3, 'out_channels': 424, 'stride': 1}]",-100,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_01-31-18
"[{'out_features': 839}, {'out_features': 839}, {'out_features': 839}, {'out_features': 839}, {'out_features': 839}, {'out_features': 839}, {'out_features': 839}, {'out_features': 839}, {'out_features': 839}]",175001.9701922909,0.750019701922909,0.999,15 min,106520213.64820406,0.05,0.003097076835010462,"{'threshold': 2.0, 'type': 'sortino'}",893.1769110237603,100,EURUSD,0.9,NA,10000,-4.134525985787158e-06,"[{'kernel_size': 9, 'out_channels': 320, 'stride': 1}, {'kernel_size': 9, 'out_channels': 320, 'stride': 1}, {'kernel_size': 9, 'out_channels': 320, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",236.29357697686302,9932.996196163358,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,6.571707640718869e-09,NA,"['long', 'neutral', 'short']",16,2020-03-18_16-58-48
"[{'out_features': 1154}, {'out_features': 1154}, {'out_features': 1154}, {'out_features': 1154}, {'out_features': 1154}, {'out_features': 1154}]",100000.0,0.0,0.999,30 min,0.0,0.05,0.0038965580404102806,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 5, 'out_channels': 99, 'stride': 1}, {'kernel_size': 5, 'out_channels': 99, 'stride': 1}, {'kernel_size': 5, 'out_channels': 99, 'stride': 1}, {'kernel_size': 5, 'out_channels': 99, 'stride': 1}, {'kernel_size': 5, 'out_channels': 99, 'stride': 1}, {'kernel_size': 5, 'out_channels': 99, 'stride': 1}]",0,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_06-25-48
"[{'out_features': 1762}, {'out_features': 1762}, {'out_features': 1762}, {'out_features': 1762}, {'out_features': 1762}, {'out_features': 1762}, {'out_features': 1762}, {'out_features': 1762}, {'out_features': 1762}, {'out_features': 1762}]",102089.500755321,0.020895007553210016,0.999,15 min,156346793.943971,0.05,0.0018312620364874601,"{'threshold': 2.0, 'type': 'sortino'}",25.775634690339572,100,EURUSD,0.9,NA,10000,-4.521754187745354e-06,"[{'kernel_size': 10, 'out_channels': 320, 'stride': 1}, {'kernel_size': 10, 'out_channels': 320, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",229.66335804986988,11000.651868229746,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.861566311185131e-10,NA,"['long', 'neutral', 'short']",16,2020-03-18_00-57-13
"[{'out_features': 1961}, {'out_features': 1961}, {'out_features': 1961}, {'out_features': 1961}, {'out_features': 1961}, {'out_features': 1961}, {'out_features': 1961}, {'out_features': 1961}, {'out_features': 1961}]",100000.0,0.0,0.999,30 min,0.0,0.05,0.00021542048526148946,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 6, 'out_channels': 34, 'stride': 1}, {'kernel_size': 6, 'out_channels': 34, 'stride': 1}, {'kernel_size': 6, 'out_channels': 34, 'stride': 1}]",0,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_07-57-49
"[{'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}]",88619.51431347209,-0.11380485686527915,0.999,5 min,931307.5291595485,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-107.14216475827885,100,EURUSD,0.9,-10714.216475827885,1000,-8.305878289546488e-05,"[{'kernel_size': 3, 'out_channels': 128}, {'kernel_size': 3, 'out_channels': 128}, {'kernel_size': 3, 'out_channels': 128}, {'kernel_size': 3, 'out_channels': 128}]",-8192,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-238.93352854589267,614.8828560594206,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.7588696723315834e-07,60,"['long', 'neutral', 'short']",16,2020-03-25_16-11-36
"[{'out_features': 1831}, {'out_features': 1831}, {'out_features': 1831}, {'out_features': 1831}, {'out_features': 1831}, {'out_features': 1831}]",100000.0,0.0,0.999,30 min,0.0,0.05,0.0018443320546733687,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 9, 'out_channels': 89, 'stride': 1}, {'kernel_size': 9, 'out_channels': 89, 'stride': 1}, {'kernel_size': 9, 'out_channels': 89, 'stride': 1}, {'kernel_size': 9, 'out_channels': 89, 'stride': 1}, {'kernel_size': 9, 'out_channels': 89, 'stride': 1}]",0,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_09-06-27
"[{'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}]",83437.7099388746,-0.165622900611254,0.999,5 min,151566.95307851073,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-160.06859745482242,100,EURUSD,0.9,-16006.859745482241,1000,-0.00010332760705247316,"[{'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}, {'kernel_size': 1, 'out_channels': 256}]",-8192,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-322.7343843008823,499.3891511330918,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.422624762401621e-06,60,"['long', 'neutral', 'short']",16,2020-03-26_04-07-59
"[{'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}]",85079.84328322367,-0.14920156716776328,0.999,30 min,130835.25495826469,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-146.23697867127984,100,EURUSD,0.9,-14623.697867127983,1000,-0.00012331662315623115,"[{'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}, {'kernel_size': 1, 'out_channels': 64}]",-512,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-309.303453261589,417.3189994143334,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.5225373866646787e-06,150,"['long', 'neutral', 'short']",16,2020-03-24_05-05-10
"[{'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}, {'out_features': 4096}]",99128.24986631438,-0.00871750133685622,0.999,30 min,137808.35734440238,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-5.805789837892032,100,EURUSD,0.9,-580.5789837892032,1000,-8.339342332473619e-05,"[{'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}]",-8192,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-190.08104193229957,600.2638565807703,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-4.26080844938257e-07,30,"['long', 'neutral', 'short']",16,2020-03-25_02-13-09
"[{'out_features': 916}, {'out_features': 916}, {'out_features': 916}, {'out_features': 916}, {'out_features': 916}, {'out_features': 916}, {'out_features': 916}, {'out_features': 916}, {'out_features': 916}]",71522.28171522674,-0.2847771828477326,0.999,15 min,0.0,0.05,0.0070741599342823034,"{'threshold': 2.0, 'type': 'sortino'}",0.005877191325243248,100,EURUSD,0.9,NA,1000,-2.8822932306328513,"[{'kernel_size': 7, 'out_channels': 295, 'stride': 1}, {'kernel_size': 7, 'out_channels': 295, 'stride': 1}, {'kernel_size': 7, 'out_channels': 295, 'stride': 1}]",-8414,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.017347277749775826,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-21_04-31-25
"[{'out_features': 1012}, {'out_features': 1012}, {'out_features': 1012}, {'out_features': 1012}, {'out_features': 1012}, {'out_features': 1012}, {'out_features': 1012}]",100000.0,0.0,0.999,15 min,0.0,0.05,0.0005464717060215772,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 1, 'out_channels': 97, 'stride': 1}, {'kernel_size': 1, 'out_channels': 97, 'stride': 1}]",-6939,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-20_03-50-42
"[{'out_features': 1708}, {'out_features': 1708}, {'out_features': 1708}, {'out_features': 1708}, {'out_features': 1708}, {'out_features': 1708}, {'out_features': 1708}, {'out_features': 1708}, {'out_features': 1708}]",100000.0,0.0,0.999,1 min,0.0,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 9, 'out_channels': 394}, {'kernel_size': 9, 'out_channels': 394}, {'kernel_size': 9, 'out_channels': 394}]",-176,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-22_08-21-36
"[{'out_features': 1064}, {'out_features': 1064}, {'out_features': 1064}, {'out_features': 1064}, {'out_features': 1064}, {'out_features': 1064}, {'out_features': 1064}]",89168.06712688753,-0.1083193287311247,0.999,15 min,134005380.23787294,0.05,0.005292082121799311,"{'threshold': 2.0, 'type': 'sortino'}",-98.9974008367573,100,EURUSD,0.9,NA,10000,-5.478353868247369e-06,"[{'kernel_size': 8, 'out_channels': 204, 'stride': 1}, {'kernel_size': 8, 'out_channels': 204, 'stride': 1}, {'kernel_size': 8, 'out_channels': 204, 'stride': 1}, {'kernel_size': 8, 'out_channels': 204, 'stride': 1}, {'kernel_size': 8, 'out_channels': 204, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",902.3941056402273,9307.535663934805,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.1814400918089412e-09,NA,"['long', 'neutral', 'short']",16,2020-03-18_14-44-03
"[{'out_features': 1547}, {'out_features': 1547}, {'out_features': 1547}, {'out_features': 1547}, {'out_features': 1547}, {'out_features': 1547}, {'out_features': 1547}]",-2647.8627549869307,-1.0264786275498692,0.999,30 min,117127200.80714786,0.05,0.0020452606482952835,"{'threshold': 2.0, 'type': 'sortino'}",-6441.6898137415865,100,EURUSD,0.9,NA,1000,-1.5030742936098885e-05,"[{'kernel_size': 7, 'out_channels': 265, 'stride': 1}, {'kernel_size': 7, 'out_channels': 265, 'stride': 1}, {'kernel_size': 7, 'out_channels': 265, 'stride': 1}, {'kernel_size': 7, 'out_channels': 265, 'stride': 1}]",-7317,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-7342.955203881507,7612.191800754189,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-9.19068004811548e-09,NA,"['long', 'neutral', 'short']",16,2020-03-20_05-12-04
"[{'out_features': 1782}, {'out_features': 1782}, {'out_features': 1782}, {'out_features': 1782}, {'out_features': 1782}, {'out_features': 1782}, {'out_features': 1782}, {'out_features': 1782}, {'out_features': 1782}]",100000.0,0.0,0.999,1 hour,0.0,0.05,0.0005606082531958819,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 9, 'out_channels': 38, 'stride': 1}]",-100,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_02-45-04
"[{'out_features': 1043}, {'out_features': 1043}, {'out_features': 1043}, {'out_features': 1043}, {'out_features': 1043}, {'out_features': 1043}, {'out_features': 1043}]",135471.61150676216,0.3547161150676216,0.999,15 min,133524359.1458727,0.05,0.00501205451855509,"{'threshold': 2.0, 'type': 'sortino'}",187.73456792447539,100,EURUSD,0.9,NA,10000,-4.690563622853311e-06,"[{'kernel_size': 8, 'out_channels': 226, 'stride': 1}, {'kernel_size': 8, 'out_channels': 226, 'stride': 1}, {'kernel_size': 8, 'out_channels': 226, 'stride': 1}, {'kernel_size': 8, 'out_channels': 226, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",-118.03972054319925,10259.46094970178,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,2.2821013110778185e-09,NA,"['long', 'neutral', 'short']",16,2020-03-18_11-14-17
