dense_params,account_balance,roi,gamma,aggregation,downside_deviation,eps_end,learning_rate,stopping_metric,mean,n_samples,fx_pair,eps_start,sum,memory,sharpe,conv_params,neutral_cost,tech_indicators,median,standard_deviation,max_steps,start_memory,target_update,pip_size,eps_decay,sortino,stop_loss,actions,batch_size,model_name
"[{'out_features': 1335}, {'out_features': 1335}, {'out_features': 1335}, {'out_features': 1335}, {'out_features': 1335}, {'out_features': 1335}, {'out_features': 1335}]",100000.0,0.0,0.999,1 hour,0.0,0.05,0.001026569093734026,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 9, 'out_channels': 344, 'stride': 1}, {'kernel_size': 9, 'out_channels': 344, 'stride': 1}, {'kernel_size': 9, 'out_channels': 344, 'stride': 1}]",-100,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-19_02-24-12
"[{'out_features': 1248}, {'out_features': 1248}, {'out_features': 1248}, {'out_features': 1248}, {'out_features': 1248}, {'out_features': 1248}, {'out_features': 1248}, {'out_features': 1248}, {'out_features': 1248}]",100000.0,0.0,0.999,1 hour,0.0,0.05,0.004018452291595643,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 2, 'out_channels': 263, 'stride': 1}, {'kernel_size': 2, 'out_channels': 263, 'stride': 1}, {'kernel_size': 2, 'out_channels': 263, 'stride': 1}]",-314,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-20_17-14-08
"[{'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}, {'out_features': 2048}]",100000.0,0.0,0.999,30 min,0.0,0.05,1e-06,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,0.0,1000,0.0,"[{'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}, {'kernel_size': 2, 'out_channels': 256}]",0,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,180,"['long', 'neutral', 'short']",16,2020-03-26_23-40-22
"[{'out_features': 2506}, {'out_features': 2506}, {'out_features': 2506}, {'out_features': 2506}, {'out_features': 2506}, {'out_features': 2506}, {'out_features': 2506}, {'out_features': 2506}, {'out_features': 2506}, {'out_features': 2506}, {'out_features': 2506}]",51727.91587768688,-0.4827208412231312,0.999,1 min,113286888.12378693,0.05,0.0009691609590649606,"{'threshold': 2.0, 'type': 'sortino'}",-364.48978374178137,100,EURUSD,0.9,NA,10000,-5.467218569320706e-06,"[{'kernel_size': 10, 'out_channels': 46}, {'kernel_size': 10, 'out_channels': 46}, {'kernel_size': 10, 'out_channels': 46}, {'kernel_size': 10, 'out_channels': 46}]",-750,"{'macd': [12, 26], 'rsi': [14]}",434.2654697627912,9812.10045971934,50,20,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-4.702405106591285e-09,NA,"['long', 'neutral', 'short']",16,2020-03-17_00-25-47
"[{'out_features': 1307}, {'out_features': 1307}, {'out_features': 1307}, {'out_features': 1307}, {'out_features': 1307}, {'out_features': 1307}, {'out_features': 1307}]",-9174.206845509476,-1.0917420684550947,0.999,15 min,78316075.67409441,0.05,0.00886864651954174,"{'threshold': 2.0, 'type': 'sortino'}",-8168.472836779387,100,EURUSD,0.9,NA,1000,-2.2172220880629973e-05,"[{'kernel_size': 9, 'out_channels': 448, 'stride': 1}, {'kernel_size': 9, 'out_channels': 448, 'stride': 1}, {'kernel_size': 9, 'out_channels': 448, 'stride': 1}]",-2848,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-9535.396004640595,5939.176281742524,15000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-1.4578642489778929e-08,NA,"['long', 'neutral', 'short']",16,2020-03-20_11-05-21
"[{'out_features': 1904}, {'out_features': 1904}, {'out_features': 1904}, {'out_features': 1904}, {'out_features': 1904}, {'out_features': 1904}, {'out_features': 1904}, {'out_features': 1904}, {'out_features': 1904}]",100000.0,0.0,0.999,1 hour,0.0,0.05,0.007589041907846928,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,1000,0.0,"[{'kernel_size': 1, 'out_channels': 340, 'stride': 1}, {'kernel_size': 1, 'out_channels': 340, 'stride': 1}]",-500,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",0.0,0.0,4000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-18_23-58-17
"[{'out_features': 1064}, {'out_features': 1064}, {'out_features': 1064}, {'out_features': 1064}, {'out_features': 1064}, {'out_features': 1064}]",-8458.508927475068,-1.0845850892747506,0.999,15 min,114636827.91159055,0.05,0.005396398582320605,"{'threshold': 2.0, 'type': 'sortino'}",-2954.6473566745485,100,EURUSD,0.9,NA,10000,-8.253539519929164e-06,"[{'kernel_size': 8, 'out_channels': 197, 'stride': 1}, {'kernel_size': 8, 'out_channels': 197, 'stride': 1}, {'kernel_size': 8, 'out_channels': 197, 'stride': 1}, {'kernel_size': 8, 'out_channels': 197, 'stride': 1}, {'kernel_size': 8, 'out_channels': 197, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",-1764.0049945743708,9637.861837902508,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-9.897212876038038e-09,NA,"['long', 'neutral', 'short']",16,2020-03-18_08-45-30
"[{'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}, {'out_features': 1024}]",83003.54492717868,-0.1699645507282132,0.999,30 min,238420.18180482235,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-166.7106600582142,100,EURUSD,0.9,-16671.06600582142,1000,-0.00011402896129794438,"[{'kernel_size': 2, 'out_channels': 512}, {'kernel_size': 2, 'out_channels': 512}, {'kernel_size': 2, 'out_channels': 512}, {'kernel_size': 2, 'out_channels': 512}, {'kernel_size': 2, 'out_channels': 512}]",-2048,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-277.4658971240407,453.10512357980724,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-9.225919931068693e-07,60,"['long', 'neutral', 'short']",16,2020-03-25_05-27-49
"[{'out_features': 710}, {'out_features': 710}, {'out_features': 710}, {'out_features': 710}, {'out_features': 710}, {'out_features': 710}, {'out_features': 710}]",79176.20539129,-0.2082379460871,0.999,1 min,258578.49675420488,0.05,0.001,"{'threshold': 2.0, 'type': 'sortino'}",-203.82173250956674,100,EURUSD,0.9,NA,1000,-0.0001155234771454757,"[{'kernel_size': 9, 'out_channels': 489}, {'kernel_size': 9, 'out_channels': 489}, {'kernel_size': 9, 'out_channels': 489}]",-145,"{'adx': [14, 14], 'macd': [12, 26], 'rsi': [14]}",-328.02020348445814,450.4557741069836,5000,100,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,-9.986829892223073e-07,NA,"['long', 'neutral', 'short']",16,2020-03-22_02-58-57
"[{'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}, {'out_features': 2184}]",100000.0,0.0,0.999,1 min,0.0,0.05,0.006295554378628732,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,10000,0.0,"[{'kernel_size': 6, 'out_channels': 15}, {'kernel_size': 6, 'out_channels': 15}, {'kernel_size': 6, 'out_channels': 15}, {'kernel_size': 6, 'out_channels': 15}, {'kernel_size': 6, 'out_channels': 15}, {'kernel_size': 6, 'out_channels': 15}]",-750,"{'macd': [12, 26], 'rsi': [14]}",0.0,0.0,50,20,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-17_00-35-28
"[{'out_features': 1163}, {'out_features': 1163}, {'out_features': 1163}, {'out_features': 1163}, {'out_features': 1163}, {'out_features': 1163}, {'out_features': 1163}, {'out_features': 1163}]",100000.0,0.0,0.999,15 min,0.0,0.05,0.0028545987125039103,"{'threshold': 2.0, 'type': 'sortino'}",0.0,100,EURUSD,0.9,NA,10000,0.0,"[{'kernel_size': 6, 'out_channels': 205, 'stride': 1}, {'kernel_size': 6, 'out_channels': 205, 'stride': 1}, {'kernel_size': 6, 'out_channels': 205, 'stride': 1}]",-750,"{'macd': [12, 26], 'rsi': [14]}",0.0,0.0,5000,1000,100,"{'AUDJPY': 0.0001, 'AUDNZD': 0.0001, 'AUDUSD': 0.0001, 'CADJPY': 0.01, 'CHFJPY': 0.01, 'EURCHF': 0.0001, 'EURGBP': 0.0001, 'EURJPY': 0.01, 'EURUSD': 0.0001, 'GBPJPY': 0.01, 'GBPUSD': 0.0001, 'NZDUSD': 0.0001, 'USDCAD': 0.0001, 'USDCHF': 0.0001, 'USDJPY': 0.01}",200,0.0,NA,"['long', 'neutral', 'short']",16,2020-03-17_22-40-04
